Teff,feh,logg,u_g,g_r,r_i,i_z,sigma_phot
5513.204,-0.3488448,4.182755,1.3219499999999993,0.35534,0.12975000000000136,0.007130000000000081,0.012383305027873796
7911.41,0.1044679,4.256967,1.0478000000000005,-0.19460000000000122,-0.19266000000000005,-0.15340999999999916,0.00467529969069894
7959.992,-0.3114818,4.192853,1.2112399999999983,-0.128169999999999,-0.11833000000000027,-0.10838999999999999,0.011957134676412087
4899.807,-0.6150942,2.757347,1.4128900000000009,0.5876099999999997,0.31843999999999895,0.20828999999999986,0.1294291736376259
5367.487,-0.6144388,4.333523,1.36402,0.526880000000002,0.16850999999999772,0.1059800000000024,0.017477040802746775
5609.787,-0.563894,3.384715,1.3997899999999994,0.5767400000000009,0.19622000000000028,0.09174999999999756,0.03336989717187602
5370.205,-0.4574507,3.414379,1.5046700000000026,0.51938,0.16255999999999915,0.054410000000000736,0.006428593511638296
5346.812,-1.221755,2.731602,1.2832799999999995,0.48738999999999955,0.20223000000000013,0.15498000000000012,0.008918546745757292
5152.031,-0.3741618,4.201645,1.878269999999997,0.7949600000000032,0.35261999999999816,0.21568000000000076,0.026118762785167973
6023.435,0.09731027,3.928785,1.0868699999999993,0.1636299999999995,-0.09013999999999989,-0.010689999999998534,0.007156685134416338
5906.126,-0.4521082,3.973623,1.2042199999999994,0.3690899999999999,0.12497000000000114,-0.0028100000000002012,0.007994643313058538
4815.719,-0.2754012,4.467741,2.18769,0.8145799999999994,0.27084999999999937,0.1844999999999999,0.030406269893685955
4725.898,-0.768984,4.49601,2.0869999999999997,0.8041200000000011,0.26581999999999795,0.15294000000000096,0.03005780542639879
5884.784,-1.426909,4.435087,0.9442500000000003,0.35083999999999804,0.14270000000000138,0.04215999999999909,0.005669266983030152
5908.587,-1.386966,4.347754,0.9442500000000003,0.35083999999999804,0.14270000000000138,0.04215999999999909,0.005669266983030152
4743.207,-0.2917077,4.470328,2.253860000000003,0.8789699999999989,0.3010199999999994,0.14592000000000027,0.007285944008065955
5483.389,-0.2839507,4.290271,1.4353300000000004,0.5129599999999996,0.18153999999999826,0.07177000000000078,0.012011695693899892
7377.742,-1.50359,3.542202,1.118579999999998,0.15538000000000096,0.049279999999999546,-0.03546000000000049,0.03496081393460198
4870.426,-0.6666611,3.573228,2.68591,1.356860000000001,0.6125599999999984,0.36468000000000345,0.1890064836588703
4312.531,-0.5443001,3.435527,2.66442,1.2284499999999987,0.4762699999999995,0.236460000000001,0.07770244667543566
5781.441,-0.9530737,3.885685,1.0719199999999987,0.42538000000000054,0.14310000000000045,0.10172000000000025,0.020823361034126717
7100.625,-2.314316,3.953912,0.7631499999999996,0.14768000000000114,0.007169999999998566,0.023469999999999658,0.04191077516859048
4683.642,-0.2451383,4.523338,2.3459199999999996,0.9235900000000008,0.2987800000000007,0.16546999999999912,0.020427143479162642
5474.491,-1.811873,2.512707,1.1459900000000012,0.47653000000000034,0.2147799999999993,0.10251000000000055,0.006300272057440758
5150.498,-1.006999,4.510533,1.442490000000003,0.5744899999999973,0.21506000000000114,0.12203999999999837,0.011847291272190568
5964.494,-2.061399,4.201485,0.8756999999999984,0.32127000000000194,0.1427599999999991,0.022469999999998436,0.007570379685964424
5999.934,-0.6608872,4.000672,1.04157,0.3406899999999986,0.11021000000000214,0.03294999999999959,0.006725582342061571
4329.282,-0.507401,4.019381,2.4829000000000008,1.1271399999999971,0.47020000000000195,0.2948500000000003,0.023643584404180518
8140.558,-1.776616,4.261829,1.1115299999999984,-0.10531999999999897,-0.12049999999999983,-0.10138999999999854,0.006562010380636517
8562.719,-3.188995,4.342286,0.4408500000000011,-0.14945000000000164,-0.1625099999999975,-0.1840500000000027,0.02825285924491764
6165.746,-1.421398,4.046876,0.9227500000000006,0.25586999999999804,0.09657999999999944,0.011720000000000397,0.007082292576335688
6198.367,-1.435165,4.030497,0.9227500000000006,0.25586999999999804,0.09657999999999944,0.011720000000000397,0.007082292576335688
4533.53,-1.014429,4.428156,2.3122000000000007,0.9860499999999988,0.3286900000000017,0.1968999999999994,0.027143746773132613
8155.991,-1.447283,4.38751,1.0929900000000004,-0.08018999999999821,-0.10535000000000139,-0.08749999999999858,0.00979546191505006
4688.655,-1.008904,4.632648,1.9139499999999998,0.8551400000000022,0.3280499999999975,0.15123000000000175,0.018114123631341867
5380.747,-1.938299,4.19248,1.1234099999999998,0.5017199999999988,0.20113999999999876,0.12473000000000312,0.01889208290132722
5851.15,-0.5887389,4.165489,1.1718800000000016,0.39607999999999777,0.1259200000000007,0.06123999999999974,0.006207255509687756
6285.455,-1.340676,3.982874,0.8805699999999987,0.26661999999999964,0.08219000000000065,0.04048999999999836,0.008412749555835286
5955.508,-0.5867319,3.871679,0.9833199999999991,0.36772000000000205,0.2012999999999998,0.17379999999999995,0.006508987673025568
5974.19,-0.4916789,3.947459,0.9833199999999991,0.36772000000000205,0.2012999999999998,0.17379999999999995,0.006508987673025568
5759.749,-0.6003544,4.014205,1.17624,0.3930899999999973,0.1371600000000015,0.052530000000000854,0.007775678223071798
5801.118,-0.5478191,4.031435,1.17624,0.3930899999999973,0.1371600000000015,0.052530000000000854,0.007775678223071798
5670.99,-0.3917433,3.758918,1.34403,0.47306000000000026,0.12875000000000014,0.06137999999999977,0.013223122750291007
6422.457,-1.34421,2.234109,1.266840000000002,0.06686999999999976,-0.012830000000001007,0.013120000000000687,0.0036660557494234314
6253.665,-1.452377,4.040029,0.9102800000000002,0.3192799999999991,0.07501000000000246,-0.012350000000001415,0.024340073462221307
6032.727,-1.673373,3.944702,0.8161500000000004,0.3287699999999987,0.10289000000000215,0.08233999999999853,0.018929237634204128
