Teff,feh,logg,u_g,g_r,r_i,i_z,sigma_phot
5480.187,-0.490778,2.746616,1.4847900000000003,0.5819300000000016,0.21089999999999876,0.11106000000000016,0.007046088907095164
5166.15,-0.4542369,4.488706,1.7007100000000008,0.6589999999999989,0.24273000000000167,0.13394999999999868,0.013317414333309028
5573.189,-0.7341296,4.101281,1.2567599999999999,0.49576000000000064,0.2186400000000006,0.08084999999999809,0.0345485166390932
5391.255,-0.4768778,4.304633,1.5025900000000014,0.6366999999999976,0.25497000000000014,0.09560000000000102,0.01777605103672541
5665.55,-0.4455242,4.053599,1.4065200000000004,0.57958,0.21661999999999892,0.058379999999999654,0.02696430853415771
5362.466,-1.232657,2.01687,1.31372,0.5931900000000034,0.2330799999999975,0.007750000000001478,0.02883284636254502
6228.425,-1.30444,3.953573,1.2080599999999997,0.5401300000000013,0.24450999999999823,0.13163000000000125,0.011799348965785326
6209.523,-1.286193,3.643607,1.2080599999999997,0.5401300000000013,0.24450999999999823,0.13163000000000125,0.011799348965785326
6222.102,-1.328519,3.975574,1.2080599999999997,0.5401300000000013,0.24450999999999823,0.13163000000000125,0.011799348965785326
6268.096,-1.275035,4.060316,1.2080599999999997,0.5401300000000013,0.24450999999999823,0.13163000000000125,0.011799348965785326
4900.194,-0.2011006,4.469421,2.2637400000000003,0.997539999999999,0.3619199999999996,0.2321200000000001,0.008454005359661449
5437.251,-0.4421386,4.40785,1.5491700000000002,0.6857299999999995,0.2559400000000007,0.11226999999999876,0.006656921359591366
6513.416,-1.715712,3.94285,1.0850699999999982,0.3830600000000004,0.1569400000000023,0.09875999999999863,0.02791070375393163
6620.348,-0.143208,3.96042,1.285619999999998,0.4716799999999992,0.17735000000000056,0.09435000000000215,0.010369385477022276
5413.26,-1.13395,2.909629,1.6440399999999986,0.8624900000000011,0.10025999999999868,0.6087100000000003,0.005963592447050163
4227.316,-1.088321,4.470997,2.872329999999998,1.458280000000002,0.6443999999999974,0.42295000000000016,0.06342779745743389
5465.764,-0.8012944,4.324153,1.3312999999999988,0.49938000000000216,0.17361000000000004,0.12466999999999828,0.015339738282446754
6085.604,-1.443388,4.228927,0.9203599999999987,0.34731000000000023,0.12162000000000006,0.07828999999999908,0.015532887960606891
6084.613,-1.515482,3.947268,0.9203599999999987,0.34731000000000023,0.12162000000000006,0.07828999999999908,0.015532887960606891
8389.146,-1.877391,4.157,1.1654499999999999,-0.10923000000000016,-0.09653000000000134,-0.0971800000000016,0.011703869645930252
8361.752,-1.329228,4.325466,1.1654499999999999,-0.10923000000000016,-0.09653000000000134,-0.0971800000000016,0.011703869645930252
4352.563,-0.9272966,3.886649,2.5324300000000015,1.1391899999999993,0.43929999999999936,0.25171999999999883,0.02972752319710312
4485.961,-0.2709121,4.203825,2.54457,1.0903199999999984,0.4052300000000013,0.21213999999999977,0.015143452491189929
4584.465,-0.5734679,3.827734,1.8416800000000002,0.8394499999999994,0.3988200000000006,0.23329000000000022,0.019007696242958887
6301.71,-2.206672,3.984811,0.9162800000000004,0.38597000000000037,0.14677000000000007,0.06880999999999915,0.008489658884105312
5828.644,-1.672055,4.316885,1.032,0.48699000000000225,0.20454999999999757,0.058440000000000936,0.028061213448586145
5033.681,-1.941587,2.34102,1.5911500000000025,0.7446899999999985,0.3288499999999992,0.17230999999999952,0.02444008794531507
5032.083,-1.331236,2.312795,1.5911500000000025,0.7446899999999985,0.3288499999999992,0.17230999999999952,0.02444008794531507
5263.208,-0.5573252,4.357593,1.586030000000001,0.6373500000000014,0.2460199999999979,0.12535000000000096,0.015050466931159147
4516.997,-1.63634,4.534334,2.1010199999999983,1.0209900000000012,0.45372000000000057,0.2486399999999982,0.060121203390269926
4548.023,-1.557589,4.471473,2.1010199999999983,1.0209900000000012,0.45372000000000057,0.2486399999999982,0.060121203390269926
5303.143,-0.7569031,4.468129,1.5118699999999983,0.6141400000000008,0.22066000000000052,0.12958999999999854,0.007231173585060277
